835,257,Apple zrywa z monogamią. iPhone przytuli więcej modeli AI,google/gemma-4-26b-a4b-it,technology/new_graph,0.857,0.632,2 | 14,7 | 19,0.857,0.6,2 | 14,8 | 20,1
730,217,cala_hala_nie_mogla_uwierzyc_co_sie_stalo_leonowi_az_zabraklo_slow,google/gemma-4-26b-a4b-it,sport_pl/new_graph,0.625,0.556,3 | 8,4 | 9,0.875,0.7,1 | 8,3 | 10,0.556
820,253,caster_semenya_moze_startowac_z_mezczyznami_iaaf_odpowiada_krytykom,google/gemma-4-26b-a4b-it,sport_pl/new_graph,1,0.692,0 | 9,4 | 13,0.778,0.778,2 | 9,2 | 9,1
845,261,Epokowa zmiana w Apple. Tim Cook przestanie być prezesem. Jego następca ma jeden główny cel,google/gemma-4-26b-a4b-it,technology/new_graph,0.944,0.708,1 | 18,7 | 24,0.722,0.812,5 | 18,3 | 16,0.875
740,221,gral_w_chicago_fire_i_radzi_lewandowskiemu_niech_sobie_kupi_jacht,google/gemma-4-26b-a4b-it,sport_pl/new_graph,0.8,0.615,2 | 10,5 | 13,0.9,0.9,1 | 10,1 | 10,0.75
750,225,jastrzebski_wegiel_wygral_pierwszy_mecz_polfinalowy_onico_warszawa_powaznie_osla,google/gemma-4-26b-a4b-it,sport_pl/new_graph,0.833,0.714,3 | 18,6 | 21,1,0.9,0 | 18,2 | 20,1
855,265,"Jeśli prezes Google ostrzega przed AI, to albo on, albo my mamy przechlapane",google/gemma-4-26b-a4b-it,technology/new_graph,0.938,0.682,1 | 16,7 | 22,0.688,0.579,5 | 16,8 | 19,0.471
453,60,Langer_serial_SkyShowtime,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.784,0 | 29,8 | 37,1,0.829,,,0.647
466,63,Maj w Prime Video. Jakie nowości zobaczymy w serwisie,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.683,0 | 28,13 | 41,0.821,0.657,,,0.184
865,269,Musk planuje rewolucję w usługach komórkowych. Pomoże SpaceX,google/gemma-4-26b-a4b-it,technology/new_graph,0.963,0.788,1 | 27,7 | 33,0.667,0.783,9 | 27,5 | 23,0.931
482,67,Największe kino plenerowe w Polsce powraca!,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.667,0 | 14,7 | 21,0.714,0.769,,,0.421
760,229,pierwszy_taki_mecz_polakow_od_trzech_lat_nie_bylo_amerykanow_byl_nokaut,google/gemma-4-26b-a4b-it,sport_pl/new_graph,0.743,0.765,9 | 35,8 | 34,0.657,1,12 | 35,0 | 23,0.886
770,233,polacy_zdemolowali_francje_zagraja_w_finale_mistrzostw_europy,google/gemma-4-26b-a4b-it,sport_pl/new_graph,0.75,0.562,3 | 12,7 | 16,0.833,0.769,2 | 12,3 | 13,0.818
790,241,polska_olimpijka_przezywa_koszmar_stracilam_zrodla_utrzymania,google/gemma-4-26b-a4b-it,sport_pl/new_graph,0.75,0.545,2 | 8,5 | 11,0.75,1,2 | 8,0 | 6,1
478,66,Porzadny czlowiek - recenzujemy produkcje platformy Max,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.5,0 | 2,2 | 4,1,0.667,,,1
474,65,Siedem nowych filmów w programie 22. MDAG online!,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.647,0 | 11,6 | 17,1,0.55,,,0.615
875,273,SpaceX ze zgodą na rozszerzenie konstelacji Starlink,google/gemma-4-26b-a4b-it,technology/new_graph,0.917,0.55,1 | 12,9 | 20,0.75,0.5,3 | 12,9 | 18,0.857
885,277,"Szef Google'a opowiedział, co dalej z AI. Mówi o stromym zboczu i dużym problemie całej branży",google/gemma-4-26b-a4b-it,technology/new_graph,1,0.667,0 | 12,6 | 18,0.833,0.667,2 | 12,5 | 15,0.643
470,64,The Pitt - Nowy klasyk serialu medycznego. Recenzja,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.667,0 | 6,3 | 9,1,1,,,1
457,62,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,0.8,0.615,2 | 10,5 | 13,0.9,0.75,,,0.692
895,281,Tim Cook na wylocie. W Apple'u gorączkowo szykują sukcesję,google/gemma-4-26b-a4b-it,technology/new_graph,0.895,0.68,2 | 19,8 | 25,0.895,0.607,2 | 19,11 | 28,1
905,285,Tim Cook rezygnuje z Apple,google/gemma-4-26b-a4b-it,technology/new_graph,0.81,0.68,4 | 21,8 | 25,0.81,0.773,4 | 21,5 | 22,1
461,61,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-26b-a4b-it,filmweb_pl/new_graph,1,0.82,0 | 41,9 | 50,0.951,0.886,,,0.953
810,249,zaprezentowali_obrzydliwy_futbol_oto_co_pisza_w_paragwaju,google/gemma-4-26b-a4b-it,sport_pl/new_graph,0.733,0.733,4 | 15,4 | 15,0.867,0.684,2 | 15,6 | 19,1
835,258,Apple zrywa z monogamią. iPhone przytuli więcej modeli AI,google/gemma-4-31b-it,technology/new_graph,0.917,0.647,1 | 12,6 | 17,0.917,0.55,1 | 12,9 | 20,0.857
730,218,cala_hala_nie_mogla_uwierzyc_co_sie_stalo_leonowi_az_zabraklo_slow,google/gemma-4-31b-it,sport_pl/new_graph,0.714,0.556,2 | 7,4 | 9,1,0.7,0 | 7,3 | 10,0.75
820,254,caster_semenya_moze_startowac_z_mezczyznami_iaaf_odpowiada_krytykom,google/gemma-4-31b-it,sport_pl/new_graph,0.857,0.667,1 | 7,3 | 9,0.714,0.556,2 | 7,4 | 9,0.667
845,262,Epokowa zmiana w Apple. Tim Cook przestanie być prezesem. Jego następca ma jeden główny cel,google/gemma-4-31b-it,technology/new_graph,0.867,0.722,2 | 15,5 | 18,0.8,0.75,3 | 15,4 | 16,1
740,222,gral_w_chicago_fire_i_radzi_lewandowskiemu_niech_sobie_kupi_jacht,google/gemma-4-31b-it,sport_pl/new_graph,1,0.769,0 | 10,3 | 13,0.9,0.9,1 | 10,1 | 10,0.727
750,226,jastrzebski_wegiel_wygral_pierwszy_mecz_polfinalowy_onico_warszawa_powaznie_osla,google/gemma-4-31b-it,sport_pl/new_graph,0.947,0.75,1 | 19,6 | 24,1,0.95,0 | 19,1 | 20,1
855,266,"Jeśli prezes Google ostrzega przed AI, to albo on, albo my mamy przechlapane",google/gemma-4-31b-it,technology/new_graph,0.812,0.619,3 | 16,8 | 21,0.938,0.789,1 | 16,4 | 19,0.688
453,84,Langer_serial_SkyShowtime,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.895,0 | 17,2 | 19,1,0.486,,,0.895
466,87,Maj w Prime Video. Jakie nowości zobaczymy w serwisie,google/gemma-4-31b-it,filmweb_pl/new_graph,0.951,0.886,2 | 41,5 | 44,0.854,1,,,1
865,270,Musk planuje rewolucję w usługach komórkowych. Pomoże SpaceX,google/gemma-4-31b-it,technology/new_graph,1,0.767,0 | 23,7 | 30,0.478,0.478,12 | 23,12 | 23,0.909
482,93,Największe kino plenerowe w Polsce powraca!,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.733,0 | 11,4 | 15,1,0.846,0 | 11,2 | 13,0.5
760,230,pierwszy_taki_mecz_polakow_od_trzech_lat_nie_bylo_amerykanow_byl_nokaut,google/gemma-4-31b-it,sport_pl/new_graph,0.846,0.71,4 | 26,9 | 31,0.846,0.957,4 | 26,1 | 23,1
770,236,polacy_zdemolowali_francje_zagraja_w_finale_mistrzostw_europy,google/gemma-4-31b-it,sport_pl/new_graph,1,0.625,0 | 10,6 | 16,1,0.769,0 | 10,3 | 13,1
790,242,polska_olimpijka_przezywa_koszmar_stracilam_zrodla_utrzymania,google/gemma-4-31b-it,sport_pl/new_graph,1,0.375,0 | 3,5 | 8,1,0.5,0 | 3,3 | 6,1
478,90,Porzadny czlowiek - recenzujemy produkcje platformy Max,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.4,0 | 2,3 | 5,1,0.667,,,1
474,89,Siedem nowych filmów w programie 22. MDAG online!,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.684,0 | 13,6 | 19,1,0.65,,,1
875,274,SpaceX ze zgodą na rozszerzenie konstelacji Starlink,google/gemma-4-31b-it,technology/new_graph,1,0.471,0 | 8,9 | 17,0.875,0.389,1 | 8,11 | 18,1
885,278,"Szef Google'a opowiedział, co dalej z AI. Mówi o stromym zboczu i dużym problemie całej branży",google/gemma-4-31b-it,technology/new_graph,0.889,0.571,1 | 9,6 | 14,0.889,0.533,1 | 9,7 | 15,1
470,88,The Pitt - Nowy klasyk serialu medycznego. Recenzja,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.667,0 | 6,3 | 9,1,1,,,0.714
457,86,The_Last_of_Us_odcinek_5_tworcy_o_szokujacych_scenach,google/gemma-4-31b-it,filmweb_pl/new_graph,0.778,0.583,2 | 9,5 | 12,0.889,0.667,,,0.667
895,282,Tim Cook na wylocie. W Apple'u gorączkowo szykują sukcesję,google/gemma-4-31b-it,technology/new_graph,1,0.615,0 | 16,10 | 26,0.938,0.536,1 | 16,13 | 28,1
905,286,Tim Cook rezygnuje z Apple,google/gemma-4-31b-it,technology/new_graph,1,0.833,0 | 20,4 | 24,0.9,0.818,2 | 20,4 | 22,1
461,85,Wladcy_Pierscieni_Pierscienie_Wladzy_nowi_aktorzy,google/gemma-4-31b-it,filmweb_pl/new_graph,1,0.744,0 | 29,10 | 39,1,0.659,,,1
810,250,zaprezentowali_obrzydliwy_futbol_oto_co_pisza_w_paragwaju,google/gemma-4-31b-it,sport_pl/new_graph,0.789,0.75,4 | 19,5 | 20,0.889,0.842,3 | 19,3 | 19,1
835,259,Apple zrywa z monogamią. iPhone przytuli więcej modeli AI,mistralai/mistral-small-3.2-24b-instruct,technology/new_graph,0.9,0.75,2 | 20,6 | 24,0.9,0.9,2 | 20,2 | 20,0.895
730,219,cala_hala_nie_mogla_uwierzyc_co_sie_stalo_leonowi_az_zabraklo_slow,mistralai/mistral-small-3.2-24b-instruct,sport_pl/new_graph,0.5,0.556,5 | 10,4 | 9,0.7,0.7,3 | 10,3 | 10,1
820,255,caster_semenya_moze_startowac_z_mezczyznami_iaaf_odpowiada_krytykom,mistralai/mistral-small-3.2-24b-instruct,sport_pl/new_graph,0.833,0.833,3 | 18,3 | 18,0.389,0.778,11 | 18,2 | 9,0.571
845,263,Epokowa zmiana w Apple. Tim Cook przestanie być prezesem. Jego następca ma jeden główny cel,mistralai/mistral-small-3.2-24b-instruct,technology/new_graph,1,0.727,0 | 16,6 | 22,0.625,0.625,6 | 16,6 | 16,1
740,223,gral_w_chicago_fire_i_radzi_lewandowskiemu_niech_sobie_kupi_jacht,mistralai/mistral-small-3.2-24b-instruct,sport_pl/new_graph,0.65,0.65,7 | 20,7 | 20,0.5,1,10 | 20,0 | 10,1
